MM:DD:YYYY hh:mm:ss, Mouse, PelletCount,Error
08/02/21,234,16,1
08/03/21,234,53,1
08/04/21,234,92,0
08/05/21,234,74,0
08/06/21,234,54,0
08/07/21,234,66,0
08/08/21,234,61,0
08/09/21,234,51,0
08/10/21,234,53,0
08/11/21,234,60,1
08/12/21,234,60,0
08/13/21,234,11,0
08/02/21,235,16,1
08/03/21,235,41,1
08/04/21,235,77,0
08/05/21,235,65,0
08/06/21,235,87,0
08/07/21,235,50,0
08/08/21,235,42,0
08/09/21,235,35,0
08/10/21,235,69,0
08/11/21,235,58,0
08/12/21,235,74,0
08/13/21,235,6,0
08/02/21,236,61,0
08/03/21,236,74,0
08/04/21,236,86,0
08/05/21,236,62,0
08/06/21,236,64,0
08/07/21,236,79,0
08/08/21,236,68,0
08/09/21,236,100,0
08/10/21,236,101,0
08/11/21,236,96,0
08/12/21,236,83,0
08/13/21,236,3,0
08/02/21,243,43,0
08/03/21,243,58,0
08/04/21,243,68,0
08/05/21,243,113,0
08/06/21,243,71,0
08/07/21,243,74,0
08/08/21,243,60,0
08/09/21,243,35,0
08/10/21,243,54,0
08/11/21,243,43,0
08/12/21,243,33,0
08/13/21,243,18,0
08/02/21,244,47,1
08/03/21,244,57,0
08/04/21,244,96,0
08/05/21,244,91,0
08/06/21,244,41,1
08/07/21,244,18,1
08/08/21,244,7,1
08/09/21,244,73,0
08/10/21,244,62,0
08/11/21,244,78,0
08/12/21,244,61,0
08/13/21,244,7,0
08/02/21,245,62,0
08/03/21,245,64,0
08/04/21,245,58,0
08/05/21,245,51,0
08/06/21,245,38,1
08/07/21,245,19,1
08/08/21,245,17,1
08/09/21,245,0,1
08/10/21,245,62,0
08/11/21,245,21,0
08/12/21,245,41,0
08/13/21,245,10,0
08/02/21,246,15,1
08/03/21,246,98,0
08/04/21,246,59,0
08/05/21,246,53,0
08/06/21,246,75,0
08/07/21,246,42,0
08/09/21,246,47,0
08/10/21,246,35,0
08/11/21,246,74,0
08/12/21,246,67,0
08/13/21,246,24,0
